host,dns_total_queries,dns_unique_dst,dns_suspicious,auth_failed,auth_total_events,brute_force_suspicious,time_shift_ratio,rare_process_suspicious
C1,6.0,4.0,0.0,0.0,140.0,0.0,0.0,0
C10,0.0,0.0,0.0,0.0,391.0,0.0,365.8656590746432,0
C100,0.0,0.0,0.0,0.0,117.0,0.0,6.573653854249989,0
C1000,0.0,0.0,0.0,0.0,104.0,0.0,22.458636803772155,0
C10001,1.0,1.0,0.0,0.0,0.0,0.0,10.760914410811266,0
C1001,0.0,0.0,0.0,0.0,138.0,0.0,31.901023028670064,0
C10012,8.0,8.0,0.0,0.0,0.0,0.0,24.646823559129373,0
C1002,0.0,0.0,0.0,0.0,89.0,0.0,0.33890455942407277,0
C10029,18.0,5.0,0.0,0.0,0.0,0.0,0.0,0
C1003,0.0,0.0,0.0,0.0,131.0,0.0,295.2084368290321,0
C10031,7.0,6.0,0.0,0.0,0.0,0.0,9.275628341683156,0
C1004,0.0,0.0,0.0,0.0,104.0,0.0,7.370563718267166,0
C10041,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
C10043,4.0,4.0,0.0,0.0,0.0,0.0,16.06533911505915,0
C1005,0.0,0.0,0.0,0.0,144.0,0.0,3.3906874921062604,0
C10051,29.0,6.0,0.0,0.0,0.0,0.0,0.0,0
C10056,4.0,3.0,0.0,0.0,0.0,0.0,1.752031322359281,0
C1006,194.0,17.0,0.0,0.0,141.0,0.0,0.0,0
C1007,0.0,0.0,0.0,0.0,137.0,0.0,0.0,0
C10077,5.0,5.0,0.0,0.0,0.0,0.0,8.956679156317097,0
C1008,0.0,0.0,0.0,0.0,223.0,0.0,70.5000631499179,0
C10083,1.0,1.0,0.0,0.0,0.0,0.0,1.9524270618448196,0
C1009,6.0,2.0,0.0,0.0,149.0,0.0,0.0,0
C10099,14.0,8.0,0.0,0.0,0.0,0.0,14.446133120026944,0
C101,0.0,0.0,0.0,0.0,15912.0,0.0,0.0,0
C1010,3.0,1.0,0.0,0.0,55.0,0.0,3.4730349850545195,0
C1011,0.0,0.0,0.0,0.0,118.0,0.0,29.46196269944849,0
C10112,11.0,4.0,0.0,0.0,0.0,0.0,0.5699911590114933,0
C10116,127.0,13.0,0.0,0.0,0.0,0.0,298.92464109796657,0
C1012,0.0,0.0,0.0,0.0,166.0,0.0,0.5956721256262367,0
C10121,8.0,5.0,0.0,0.0,0.0,0.0,1.3327158674693722,0
C10125,27.0,17.0,0.0,0.0,0.0,0.0,10.616890498042352,0
C10127,5.0,4.0,0.0,0.0,0.0,0.0,11.783437881530753,0
C1013,0.0,0.0,0.0,0.0,120.0,0.0,0.0,0
C10131,8.0,6.0,0.0,0.0,0.0,0.0,12.247000378899507,0
C10134,2.0,2.0,0.0,0.0,0.0,0.0,0.28337473161284893,0
C1014,0.0,0.0,0.0,0.0,147.0,0.0,4.543341893655538,0
C10140,6.0,4.0,0.0,0.0,0.0,0.0,0.0,0
C10148,8.0,6.0,0.0,0.0,0.0,0.0,60.433587336336466,0
C1015,10.0,10.0,0.0,0.0,1214.0,0.0,7320.055908727319,0
C10152,86.0,19.0,0.0,0.0,0.0,0.0,0.141413716162169,0
C1016,3.0,1.0,0.0,0.0,129.0,0.0,0.0,0
C10165,17.0,9.0,0.0,0.0,0.0,0.0,0.0,0
C1017,0.0,0.0,0.0,0.0,88.0,0.0,3.338525659916642,0
C1018,19.0,11.0,0.0,0.0,162.0,0.0,0.0,0
C10187,2.0,2.0,0.0,0.0,0.0,0.0,0.872773965393845,0
C10189,24.0,2.0,0.0,0.0,0.0,0.0,1.564476066181114,0
C1019,2.0,2.0,0.0,0.0,155.0,0.0,2.7789331873868566,0
C10191,17.0,8.0,0.0,0.0,0.0,0.0,0.0,0
C102,0.0,0.0,0.0,0.0,132.0,0.0,0.0,0
C1020,0.0,0.0,0.0,0.0,151.0,0.0,0.3660169241779986,0
C1021,0.0,0.0,0.0,0.0,115.0,0.0,6.669220730013051,0
C10219,7.0,4.0,0.0,0.0,0.0,0.0,1.7032374857912684,0
C1022,5.0,4.0,0.0,0.0,54.0,0.0,0.0,0
C1023,0.0,0.0,0.0,0.0,77.0,0.0,0.9005599292720919,0
C10239,16.0,11.0,0.0,0.0,0.0,0.0,5.125878836357512,0
C1024,0.0,0.0,0.0,0.0,107.0,0.0,37.77223929608891,0
C1025,1.0,1.0,0.0,0.0,813.0,0.0,2.3650065254915167,0
C1026,0.0,0.0,0.0,0.0,87.0,0.0,0.9715404369974319,0
C10260,5.0,5.0,0.0,0.0,0.0,0.0,16.009977687029007,0
C10267,3.0,3.0,0.0,0.0,0.0,0.0,0.42954574159053593,0
C1027,0.0,0.0,0.0,0.0,118.0,0.0,215.537490001263,0
C10279,34.0,8.0,0.0,0.0,0.0,0.0,1.468656590746432,0
C1028,0.0,0.0,0.0,0.0,494.0,0.0,0.0,0
C10281,10.0,6.0,0.0,0.0,0.0,0.0,1.3920346903549026,0
C1029,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0
C10299,14.0,9.0,0.0,0.0,0.0,0.0,1.5171136277522839,0
C1030,0.0,0.0,0.0,0.0,157.0,0.0,101.27263924556898,0
C1031,0.0,0.0,0.0,0.0,185.0,0.0,0.0,0
C10313,1.0,1.0,0.0,0.0,0.0,0.0,10.758262114259251,0
C1032,0.0,0.0,0.0,0.0,101.0,0.0,0.3660169241779986,0
C10328,5.0,5.0,0.0,0.0,0.0,0.0,94.59916642108365,0
C1033,0.0,0.0,0.0,0.0,205.0,0.0,0.0,0
C10330,7.0,4.0,0.0,0.0,0.0,0.0,0.0,0
C10331,27.0,13.0,0.0,0.0,0.0,0.0,2.9495642655664547,0
C10336,49.0,11.0,0.0,0.0,0.0,0.0,0.0,0
C1034,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0
C10340,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0
C10345,7.0,5.0,0.0,0.0,0.0,0.0,0.8673430724540058,0
C1035,18.0,9.0,0.0,0.0,197.0,0.0,0.0,0
C10355,18.0,9.0,0.0,0.0,0.0,0.0,0.1979960426051446,0
C1036,0.0,0.0,0.0,0.0,160.0,0.0,0.0,0
C10364,6.0,3.0,0.0,0.0,0.0,0.0,1.6034606155012,0
C1037,0.0,0.0,0.0,0.0,88.0,0.0,0.3660169241779986,0
C10378,46.0,15.0,0.0,0.0,0.0,0.0,2073.142171515177,0
C1038,0.0,0.0,0.0,0.0,108.0,0.0,0.0,0
C1039,0.0,0.0,0.0,0.0,183.0,0.0,40.877026059866125,0
C10397,18.0,8.0,0.0,0.0,0.0,0.0,10.904475224182208,0
C10399,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
C1040,0.0,0.0,0.0,0.0,133.0,0.0,0.3660169241779986,0
C10401,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0
C10407,31.0,18.0,0.0,0.0,0.0,0.0,4.68037721550962,0
C1041,0.0,0.0,0.0,0.0,105.0,0.0,4.243085083989391,0
C10417,16.0,7.0,0.0,0.0,0.0,0.0,1.0569612259504062,0
C1042,0.0,0.0,0.0,0.0,469.0,0.0,0.0,0
C1043,0.0,0.0,0.0,0.0,145.0,0.0,0.0,0
C10430,1075.0,19.0,0.0,0.0,0.0,0.0,99.2888056245527,0
C10438,148.0,15.0,0.0,0.0,0.0,0.0,0.0,0
C1044,0.0,0.0,0.0,0.0,154.0,0.0,0.0,0
C10442,8.0,6.0,0.0,0.0,0.0,0.0,0.0,0
