host,unique_dst,unique_src_port,unique_dst_port,total_bytes,avg_bytes,total_packets,avg_packets,avg_duration,avg_packet_size,entropy_dst,ratio_bytes_per_packet
C10,33,33,406,15.97773044665727,9.401343378962684,10.429103261774754,3.8736064256974165,2.4183233282353767,5.5525417559735155,4.284423168160664,256.8922226492063
C100,2,18,1,11.958540341705442,6.063708538229975,6.75343791859778,1.2094522700905617,0.16663134105086744,5.211730708188703,0.9989326546260582,182.41121495327104
C1000,10,154,24,13.187141244896276,8.093694675296138,7.641564441260972,2.6227105993695923,2.0403435203861036,5.549950347991996,2.837666295383453,256.2247838616715
C10001,4,34,6,12.451388563109523,8.737972975623139,7.557472901614746,3.8645734057151584,1.8198174220232124,4.901894327542555,1.769122521891063,133.54440961337514
C10003,4,23,5,13.297816399728669,10.002023164766827,8.421122722665503,5.130993885331517,2.9287215632710306,4.884503809490824,1.6663716187938955,131.22484034353667
C10005,13,140,13,14.037898623971312,8.87898181976458,8.365905077202456,3.246312077019452,1.8467337200389735,5.675659736429085,1.9360740734329591,290.6807074703281
C10008,3,20,4,12.393651193434177,9.30269577750823,7.461640392208575,4.382594655137891,2.833213344056216,4.939763553571208,1.3221793455166666,138.7372052903968
C1001,8,196,21,13.538103516120238,7.214479358517746,8.02059914989697,1.8643301620628903,1.1904407981073597,5.521838229971539,1.6602277855395131,249.09434582511506
C10010,15,150,16,13.97790147926935,8.785096786280231,8.110427237575024,2.9698445026018634,1.7683391950199565,5.870598997203327,2.316957332328613,353.4612379807692
C10012,6,14,2,13.280113855888988,9.09057013587151,8.504715669905124,4.328138269461779,1.6333911534565932,4.783996681256493,1.7934590944879387,118.58132469110797
C10014,2,3,1,9.141740280483926,8.043342170441608,3.367295829986474,2.3353749158170367,2.7300291078209855,5.812423318435598,0.9182958340544894,333.42857142857144
C10016,3,22,4,12.69323754912164,9.361115974878476,7.61972421378267,4.300680995219929,2.729252408752813,5.08023889924598,1.2958363892911637,159.81246931762396
C10018,1,1,1,8.431199478249262,5.6014674257855575,3.332204510175204,0.9509762898620451,0.0,5.14101357272937,0.0,169.88888888888889
C1002,1,9,1,8.993551586299981,3.8501476017100584,5.170483995038151,0.6931471805599453,0.0,3.8501476017100584,0.0,46.0
C10020,2,3,1,9.913140809564267,6.9183489671930065,4.584967478670572,1.766441661243765,1.766441661243765,5.343172454316478,0.9709505944546688,208.17525773195877
C10022,10,110,16,14.042277138175919,9.263247699246046,8.197263371414335,3.450120923624383,1.9092312208352322,5.848177735763164,1.8160564030751767,345.6022038567493
C10024,2,2,1,11.488079340597526,9.696371127923914,5.883322388488279,4.105394398408686,3.349904087274605,5.611199485162188,0.6500224216483541,272.47206703910615
C10026,6,27,4,14.638684183489593,10.36204923555117,10.172903816181016,5.8989456070559045,2.588181658954805,4.47724783884163,2.4552059723265187,86.99217049230417
C10028,5,30,7,13.911502323618,10.24797519880936,8.400434630806041,4.745377959846337,1.9854125920315595,5.515324321656471,1.6440405934988813,247.47054856115108
C1003,8,2,55,15.76314593224806,11.081029964373139,8.901775088607979,4.23410650459726,2.502497925593095,6.86255364382385,2.430514128832543,954.8047385620915
C10031,2,6,3,12.30285900796786,8.86900795670068,7.3395376954076745,3.9248436938572078,2.3620705462802256,4.9709272194032765,0.9811522341999134,143.1604938271605
